Pathway Name,Genes,Edges,Final Decision,Rationale Summary
positive regulation of p38MAPK cascade,11,7,Keep,Tier 1: Core stress-signaling pathway relevant to cancer and drug response.
negative regulation of non-canonical NF-kappaB signal transduction,15,1,Keep,"Tier 1: Core ""Hallmark of Cancer"" pathway."
positive regulation of non-canonical NF-kappaB signal transduction,16,2,Keep,"Tier 1: Core ""Hallmark of Cancer"" pathway."
regulation of signal transduction by p53 class mediator,17,35,Keep,Tier 1: Central tumor suppressor pathway; high connectivity is justified by its biological role as a hub.
positive regulation of amyloid-beta formation,10,8,Remove,Tier 3: Confusing disease-specific term (Alzheimer's); better to rely on core proteostasis pathway terms.
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,11,14,Keep,"Tier 1: Core ""Hallmark of Cancer"" (apoptosis evasion)."
negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway,10,2,Keep,Tier 1: Core mechanism linking cellular stress to apoptosis; highly relevant to drug action.
positive regulation of miRNA transcription,18,85,Keep,Tier 1: Core cancer process; high connectivity is justified by the widespread regulatory role of miRNAs.
positive regulation of protein localization to plasma membrane,23,24,Keep,"Tier 2: Established biological process critical for oncoprotein function; excellent ""Discovery"" candidate."
negative regulation of TORC1 signaling,14,30,Keep,Tier 1: Core cancer/pharmacology pathway (mTOR signaling).
positive regulation of TORC1 signaling,19,1,Keep,Tier 1: Core cancer/pharmacology pathway (mTOR signaling).
cellular response to amyloid-beta,15,31,Remove,Tier 3: Confusing disease-specific term with high connectivity but weak justification in a pan-cancer model.
positive regulation of double-strand break repair via homologous recombination,19,5,Keep,"Tier 1: Core ""Hallmark of Cancer"" (genome instability) and key drug target (PARP inhibitors)."
amyloid fibril formation,10,9,Remove,Tier 3: Confusing disease-specific term; better to use general protein aggregation/stress terms.
negative regulation of G1/S transition of mitotic cell cycle,14,21,Keep,"Tier 1: Core ""Hallmark of Cancer"" (cell cycle) and direct drug target."
negative regulation of endothelial cell apoptotic process,14,3,Keep,"Tier 1: Directly related to a ""Hallmark of Cancer"" (angiogenesis)."
positive regulation of reactive oxygen species metabolic process,16,23,Keep,Tier 1: Core cellular stress process central to cancer biology and chemotherapy response.
negative regulation of anoikis,11,22,Keep,"Tier 1: Directly related to a ""Hallmark of Cancer"" (metastasis)."
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,11,16,Keep,"Tier 1: Specific, important mechanism of apoptosis regulation relevant to cancer survival."
positive regulation of intrinsic apoptotic signaling pathway,14,30,Keep,"Tier 1: Core ""Hallmark of Cancer"" (apoptosis evasion)."
semaphorin-plexin signaling pathway,10,10,Keep,Tier 1: Established roles in angiogenesis and tumor invasion.
cellular response to transforming growth factor beta stimulus,13,2,Keep,"Tier 1: Core ""Hallmark of Cancer"" signaling pathway."
cellular response to BMP stimulus,10,23,Keep,Tier 1: Part of the TGF-beta superfamily with key roles in cancer progression.
positive regulation of protein serine/threonine kinase activity,11,3,Keep,"Tier 1: Small size makes it specific, not general. Highly relevant as kinases are primary drug targets."
protein localization to plasma membrane,52,22,Keep,"Tier 2: Fundamental process for oncoprotein function. Excellent ""Discovery"" candidate."
positive regulation of neutrophil chemotaxis,10,1,Keep,"Tier 2: Represents chemokine secretion by cancer cells, a key TME-shaping process."
negative regulation of canonical Wnt signaling pathway,52,63,Keep,"Tier 1: Core ""Hallmark of Cancer"" pathway. Large size is biologically justified."
positive regulation of release of cytochrome c from mitochondria,10,40,Keep,"Tier 1: Critical, highly-connected event in apoptosis. High edge count is justified."
positive regulation of canonical Wnt signaling pathway,32,17,Keep,"Tier 1: Core ""Hallmark of Cancer"" pathway."
positive regulation of wound healing,11,3,Keep,"Tier 2: Captures the ""tumor as a wound"" concept. Small size makes it a low-risk ""Discovery"" candidate."
mitotic spindle assembly,16,2,Keep,Tier 1: Core cell cycle process and direct target of major chemotherapies.
positive regulation of protein targeting to membrane,10,5,Keep,"Tier 2: A specific subset of the larger membrane localization process. Good ""Discovery"" candidate."
cellular senescence,18,135,Keep,Tier 1: Core tumor suppression mechanism. High connectivity is justified by its role as a key signaling hub.
energy homeostasis,16,9,Keep,"Tier 2: ""Hallmark of Cancer"" (metabolism). Excellent ""Discovery"" candidate."
